案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091504287, 111/09/15 00:00,橋涵巡1110901230,中山區建國高架-往南建國南路1段8號上方隔音牆,其他,觀察
111091504289, 111/09/15 00:00,中山巡1110905765,中山區八德路2段312巷21號,縱向及橫向裂縫,觀察
111091504290, 111/09/15 00:00,中山巡1110905879,中山區敬業三路123號,龜裂,觀察
111091504292, 111/09/15 00:00,中山巡1110905880,中山區敬業三路111號,龜裂,觀察
111091504299, 111/09/15 00:00,中山巡1110905883,中山區樂群二路208號,龜裂,觀察
111091504303, 111/09/15 00:00,中山巡1110905885,中山區樂群二路286號,龜裂,觀察
111091504308, 111/09/15 00:00,中山巡1110905887,中山區樂群二路126號,龜裂,觀察
111091504312, 111/09/15 00:00,中山巡1110905658,中山區八德路2段146巷6弄5號,縱向及橫向裂縫,觀察
111091504314, 111/09/15 00:00,中山巡1110905659,中山區八德路2段146巷2弄3號,縱向及橫向裂縫,觀察
111091504316, 111/09/15 00:00,中山巡1110905660,中山區八德路2段174巷11號,縱向及橫向裂縫,觀察
111091504318, 111/09/15 00:00,中山巡1110905661,中山區八德路2段174巷28號,人手孔缺失,觀察
111091504320, 111/09/15 00:00,中山巡1110905662,中山區八德路2段174巷26號,鋪面破損,觀察
111091504334, 111/09/15 00:00,橋涵巡1110901232,中山區建國高架-往南建國南路1段8之1號上方隔音牆,其他,觀察
111091504336, 111/09/15 00:00,中山巡1110905767,中山區八德路2段312巷120號,縱向及橫向裂縫,觀察
111091504345, 111/09/15 00:00,橋涵巡1110901236,中山區建國高架-往北建國南路1段橋墩P70RR與P71RR間上方胸牆,雜草,觀察
111091504347, 111/09/15 00:00,中山巡1110905771,中山區八德路2段312巷120號,側溝蓋破損,觀察
111091504350, 111/09/15 00:00,中山巡1110905772,中山區八德路2段312巷38號,縱向及橫向裂縫,觀察
111091504353, 111/09/15 00:00,中山巡1110905889,中山區樂群二路11號,龜裂,觀察
111091504358, 111/09/15 00:00,中山巡1110905891,中山區樂群二路105號,龜裂,觀察
111091504364, 111/09/15 00:00,中山巡1110905893,中山區敬業三路171號,龜裂,觀察
